Date,Name,SubDept,Department,Revenue,Cost,GP,Qty,Year,Week,Month,DOW
2026-05-09,AVOCADO PER EACH,Fruit,FRUIT & VEG,24.9,14.286,10.613999999999999,10.0,2026,2026-05-04,2026-05-01,Saturday
2026-05-11,AVOCADO PER EACH,Fruit,FRUIT & VEG,49.29,29.0712,20.218799999999998,19.0,2026,2026-05-11,2026-05-01,Monday
2026-05-12,AVOCADO PER EACH,Fruit,FRUIT & VEG,129.74,76.785,52.95500000000001,50.0,2026,2026-05-11,2026-05-01,Tuesday
2026-05-13,AVOCADO PER EACH,Fruit,FRUIT & VEG,43.94,26.1069,17.833099999999998,17.0,2026,2026-05-11,2026-05-01,Wednesday
2026-05-14,AVOCADO PER EACH,Fruit,FRUIT & VEG,46.8,27.6426,19.157399999999996,18.0,2026,2026-05-11,2026-05-01,Thursday
2026-03-13,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,7.0,5.3,1.7000000000000002,2.0,2026,2026-03-09,2026-03-01,Friday
2026-03-14,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,3.5,2.65,0.8500000000000001,1.0,2026,2026-03-09,2026-03-01,Saturday
2026-03-17,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,7.0,5.3,1.7000000000000002,2.0,2026,2026-03-16,2026-03-01,Tuesday
2026-03-19,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,9.99,7.0,2.99,1.0,2026,2026-03-16,2026-03-01,Thursday
2026-03-20,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,9.99,7.0,2.99,1.0,2026,2026-03-16,2026-03-01,Friday
2026-03-21,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,9.99,7.0,2.99,1.0,2026,2026-03-16,2026-03-01,Saturday
2026-03-23,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,9.99,7.0,2.99,1.0,2026,2026-03-23,2026-03-01,Monday
2026-03-25,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,19.98,14.0,5.98,2.0,2026,2026-03-23,2026-03-01,Wednesday
2026-03-26,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,9.99,7.0,2.99,1.0,2026,2026-03-23,2026-03-01,Thursday
2026-03-27,BABY WOMBOK CHINESE CABBAGE,Vegetables,FRUIT & VEG,19.98,14.0,5.98,2.0,2026,2026-03-23,2026-03-01,Friday
2026-03-05,BANANAS PER KG,Fruit,FRUIT & VEG,142.44,80.781,61.65899999999999,26.927,2026,2026-03-02,2026-03-01,Thursday
2026-03-06,BANANAS PER KG,Fruit,FRUIT & VEG,262.15,148.995,113.15499999999997,49.665,2026,2026-03-02,2026-03-01,Friday
2026-03-07,BANANAS PER KG,Fruit,FRUIT & VEG,104.0,59.526,44.474,19.842,2026,2026-03-02,2026-03-01,Saturday
2026-03-10,BANANAS PER KG,Fruit,FRUIT & VEG,83.23,73.4866,9.743400000000008,25.285,2026,2026-03-09,2026-03-01,Tuesday
2026-03-11,BANANAS PER KG,Fruit,FRUIT & VEG,267.99,153.6164,114.37360000000001,54.863,2026,2026-03-09,2026-03-01,Wednesday
2026-03-12,BANANAS PER KG,Fruit,FRUIT & VEG,76.39,43.736,32.654,15.62,2026,2026-03-09,2026-03-01,Thursday
2026-03-13,BANANAS PER KG,Fruit,FRUIT & VEG,223.05,127.7136,95.33640000000001,45.612,2026,2026-03-09,2026-03-01,Friday
2026-03-14,BANANAS PER KG,Fruit,FRUIT & VEG,133.49,76.6612,56.828800000000015,27.379,2026,2026-03-09,2026-03-01,Saturday
2026-03-16,BANANAS PER KG,Fruit,FRUIT & VEG,122.7,72.6427,50.0573,24.153,2026,2026-03-16,2026-03-01,Monday
2026-03-17,BANANAS PER KG,Fruit,FRUIT & VEG,298.99,169.9205,129.0695,52.594,2026,2026-03-16,2026-03-01,Tuesday
2026-03-18,BANANAS PER KG,Fruit,FRUIT & VEG,204.75,116.3927,88.3573,36.026,2026,2026-03-16,2026-03-01,Wednesday
2026-03-19,BANANAS PER KG,Fruit,FRUIT & VEG,46.37,26.3215,20.048499999999997,8.147,2026,2026-03-16,2026-03-01,Thursday
2026-03-20,BANANAS PER KG,Fruit,FRUIT & VEG,395.73,213.4718,182.25820000000002,66.074,2026,2026-03-16,2026-03-01,Friday
2026-03-21,BANANAS PER KG,Fruit,FRUIT & VEG,212.24,115.0259,97.21410000000002,35.603,2026,2026-03-16,2026-03-01,Saturday
